Property_ID,Area_sqft,Bedrooms,Age_years,Distance_City_km,House_Price_Lakhs
1,1959,1,0,15.1,87.38
2,859,5,2,12.2,76.56
3,715,1,2,5.2,40.24
4,1057,5,13,5.2,83.6
5,1856,3,25,17.5,80.81
6,1515,3,8,4.0,88.93
7,2213,3,3,2.8,135.88
8,1886,3,25,1.8,105.59
9,1590,5,3,19.5,93.1
10,2348,5,28,17.4,122.33
11,1832,2,22,2.3,85.94
12,813,2,27,2.9,33.39
13,1219,4,20,16.8,66.98
14,2022,3,22,18.8,92.57
15,1977,1,19,13.1,74.39
16,1596,4,8,19.8,85.05
17,1960,5,7,14.0,122.81
18,1119,1,25,7.0,35.34
19,1198,1,6,18.3,38.21
20,1085,4,12,17.8,59.3
21,1966,4,4,6.0,121.11
22,1188,5,13,18.1,81.11
23,1467,3,7,19.9,75.84
24,2197,1,27,3.1,98.7
25,1935,2,25,13.9,75.79
26,1870,4,16,5.8,106.27
27,1783,1,21,14.7,63.6
28,1196,3,3,6.6,72.14
29,973,4,0,19.1,66.6
30,1675,2,16,18.3,66.18
31,2432,3,26,13.1,108.74
32,2211,2,17,19.1,89.66
33,2539,5,29,1.0,144.31
34,2552,3,28,19.7,108.37
35,2302,3,7,2.1,138.85
36,825,4,26,2.3,51.18
37,2207,5,24,3.4,123.8
38,988,3,16,17.6,37.1
39,1516,2,29,11.2,61.07
40,1288,4,21,13.3,67.69
41,1547,5,14,3.3,107.94
42,1854,5,7,12.2,119.83
43,664,1,22,13.0,18.56
44,2410,3,2,10.8,138.99
45,1220,4,6,11.2,78.4
46,1830,4,7,15.9,91.31
47,2303,4,6,2.8,135.98
48,1491,4,27,14.9,70.48
49,2029,1,1,8.6,91.97
50,1159,2,6,11.2,68.8
51,937,4,5,6.3,73.68
52,1557,5,3,2.0,127.65
53,1757,1,2,18.6,74.63
54,1644,4,6,17.4,89.62
55,2498,1,5,8.2,120.14
56,2255,4,9,9.0,126.91
57,2146,5,21,14.6,118.99
58,769,5,23,11.3,60.63
59,2181,3,1,2.0,117.59
60,1737,2,1,19.3,81.95
61,814,2,2,12.3,44.53
62,895,5,7,12.0,69.16
63,731,5,2,9.0,66.48
64,2564,3,6,13.7,126.17
65,1293,2,8,8.5,66.21
66,1297,1,0,9.7,59.99
67,1803,1,2,11.2,80.79
68,1364,1,28,5.6,53.14
69,1233,2,14,16.8,50.09
70,2302,5,0,13.7,131.75
71,1785,3,29,13.6,81.82
72,886,1,23,11.5,27.19
73,1207,3,19,5.0,65.51
74,2396,3,16,10.3,125.44
75,2504,1,2,13.1,113.53
76,1333,2,20,19.6,48.13
77,980,4,17,14.4,56.23
78,2585,2,17,1.7,127.41
79,1406,5,17,3.8,101.34
80,2491,1,28,7.8,104.51
81,2046,2,21,3.0,101.92
82,1482,5,23,3.9,87.56
83,2554,2,27,4.1,118.63
84,1494,1,5,15.0,60.26
85,1330,4,25,13.7,69.49
86,976,1,12,17.6,28.62
87,2408,4,7,4.8,144.33
88,2330,2,7,1.4,121.42
89,1045,4,10,6.3,83.09
90,1369,5,12,13.9,91.96
91,2377,5,10,18.8,139.28
92,1015,5,30,19.7,62.81
93,728,1,19,9.3,25.63
94,1891,5,3,8.3,119.8
95,1830,2,8,1.8,94.51
96,2301,5,21,14.7,125.86
97,2169,2,11,9.2,115.56
98,1926,3,21,17.1,83.3
99,2124,3,16,6.9,106.49
100,1255,5,4,4.6,101.85
101,2011,4,21,15.2,104.35
102,1481,5,26,1.0,104.86
103,1237,2,13,15.9,50.47
104,1554,4,21,5.1,89.68
105,1619,2,21,2.6,74.17
106,1336,1,26,19.1,37.07
107,1131,3,7,16.3,62.02
108,1623,5,27,15.6,89.27
109,1582,4,28,13.0,82.68
110,1662,4,7,3.8,115.12
111,2058,1,28,15.3,73.61
112,1520,2,5,16.3,69.05
113,2075,5,14,2.0,132.52
114,1584,2,25,9.8,78.47
115,1737,5,19,7.0,108.44
116,2319,5,13,16.8,121.68
117,1772,4,28,4.0,102.46
118,2189,2,26,13.1,87.36
119,2218,5,15,12.9,125.42
120,1235,2,8,7.4,68.85
121,2478,5,2,3.6,157.47
122,2096,2,2,8.9,115.43
123,1327,5,14,8.9,92.28
124,2503,5,30,14.2,132.33
125,2404,5,12,10.1,143.21
126,1448,4,17,15.2,77.15
127,1768,5,28,5.2,106.9
128,709,4,10,13.7,56.9
129,2284,4,23,4.1,122.56
130,1924,5,0,18.2,116.68
131,1862,5,21,1.5,117.23
132,1595,2,1,5.9,87.23
133,1320,2,14,7.2,67.36
134,2190,4,8,16.9,111.05
135,1613,1,23,11.2,65.9
136,1981,1,24,19.2,67.96
137,732,1,30,5.7,27.09
138,1138,2,15,13.7,44.8
139,1805,2,14,14.3,81.0
140,1893,1,24,16.6,63.98
141,1287,1,18,1.5,58.14
142,1418,4,30,14.6,76.48
143,805,5,22,16.8,53.45
144,1267,5,25,3.3,95.19
145,1809,1,11,11.1,76.99
146,1976,3,0,17.1,101.15
147,2334,4,3,9.2,127.67
148,1591,2,13,4.3,91.23
149,1718,3,19,16.4,74.02
150,1542,5,8,7.1,105.16
151,1152,1,8,17.8,42.89
152,1899,4,10,1.5,124.82
153,2392,3,5,10.3,123.68
154,1222,5,22,17.7,73.89
155,1788,1,16,19.0,71.56
156,1650,5,24,5.6,106.8
157,1625,4,14,16.1,90.46
158,2066,2,9,13.6,98.43
159,1405,4,17,11.1,74.02
160,1327,3,22,9.6,71.61
